date,close
2022-08-11,54.43
2022-08-12,54.89
2022-08-15,54.48
2022-08-16,54.78
2022-08-17,53.96
2022-08-18,53.29
2022-08-19,52.51
2022-08-22,51.22
2022-08-23,51.54
2022-08-24,51.99
2022-08-25,51.29
2022-08-26,49.67
2022-08-29,49.69
2022-08-30,49.32
2022-08-31,48.36
2022-09-01,47.98
2022-09-02,47.87
2022-09-06,48.34
2022-09-07,49.04
2022-09-08,49.24
2022-09-09,49.9
2022-09-12,51.62
2022-09-13,49.58
2022-09-14,49.16
2022-09-15,48.99
2022-09-16,49.43
2022-09-19,50.07
2022-09-20,49.19
2022-09-21,48.14
2022-09-22,48.57
2022-09-23,46.64
2022-09-26,45.54
2022-09-27,45.16
2022-09-28,45.73
2022-09-29,45.44
2022-09-30,45.16
2022-10-03,45.85
2022-10-04,48
2022-10-05,46.75
2022-10-06,45.82
2022-10-07,45.32
2022-10-10,44.94
2022-10-11,44.9
2022-10-12,45.67
2022-10-13,46.36
2022-10-14,45.57
2022-10-17,46.65
2022-10-18,46.91
2022-10-19,45.61
2022-10-20,45.23
2022-10-21,46.24
2022-10-24,46.9
2022-10-25,47.4
2022-10-26,47.22
2022-10-27,49.55
2022-10-28,50.34
2022-10-31,50.1
2022-11-01,51.07
2022-11-02,49.5
2022-11-03,49.16
2022-11-04,52.12
2022-11-07,52.76
2022-11-08,52.57
2022-11-09,52.11
2022-11-10,53.76
2022-11-11,55.36
2022-11-14,54.77
2022-11-15,54.75
2022-11-16,55.04
2022-11-17,55.01
2022-11-18,55.53
2022-11-21,55.5
2022-11-22,55.93
2022-11-23,56.38
2022-11-25,56.59
2022-11-28,58.17
2022-11-29,58.02
2022-11-30,58.89
2022-12-01,59.73
2022-12-02,60.35
2022-12-05,59.45
2022-12-06,59.02
2022-12-07,59.35
2022-12-08,59.57
2022-12-09,59.61
2022-12-12,59.99
2022-12-13,60.81
2022-12-14,61.14
2022-12-15,59.74
2022-12-16,59.63
2022-12-19,59.48
2022-12-20,59.37
2022-12-21,60.42
2022-12-22,60.12
2022-12-23,60.37
2022-12-27,60.36
2022-12-28,59.96
2022-12-29,60.38
2022-12-30,60.04
2023-01-03,59.6
2023-01-04,61.3
2023-01-05,60.24
2023-01-06,61.09
2023-01-09,60.67
2023-01-10,60.45
2023-01-11,61.88
2023-01-12,60.49
2023-01-13,60.92
2023-01-17,61.07
2023-01-18,59.29
2023-01-19,59.33
2023-01-20,59.8
2023-01-23,59.3
2023-01-24,59.44
2023-01-25,60.31
2023-01-26,59.66
2023-01-27,58.65
2023-01-30,58.74
2023-01-31,60.29
2023-02-01,60.27
2023-02-02,59.87
2023-02-03,59.19
2023-02-06,58.73
2023-02-07,58.42
2023-02-08,58.2
2023-02-09,58.08
2023-02-10,58.05
2023-02-13,58.87
2023-02-14,58.82
2023-02-15,59.4
2023-02-16,58.88
2023-02-17,58.82
2023-02-21,59.1
2023-02-22,60.05
2023-02-23,60.79
2023-02-24,60.32
2023-02-27,60.72
2023-02-28,60.7
2023-03-01,60.25
2023-03-02,61.09
2023-03-03,62.08
2023-03-06,61.09
2023-03-07,59.78
2023-03-08,60
2023-03-09,60.29
2023-03-10,60.26
2023-03-13,59.48
2023-03-14,60.81
2023-03-15,59.42
2023-03-16,60.81
2023-03-17,59.91
2023-03-20,60.42
2023-03-21,61.3
2023-03-22,61.65
2023-03-23,61.85
2023-03-24,62.18
2023-03-27,62.97
2023-03-28,63.47
2023-03-29,65.3
2023-03-30,66.39
2023-03-31,66.73
2023-04-03,66.57
2023-04-04,66.53
2023-04-05,66.5
2023-04-06,66.34
2023-04-10,64.96
2023-04-11,65.11
2023-04-12,63.38
2023-04-13,64.34
2023-04-14,64.56
2023-04-17,64.92
2023-04-18,64.36
2023-04-19,65.97
2023-04-20,65.43
2023-04-21,65.52
2023-04-24,65.66
2023-04-25,65.65
2023-04-26,66.2
2023-04-27,66.19
2023-04-28,64.97
2023-05-01,64.63
2023-05-02,63.67
2023-05-03,63.69
2023-05-04,65.9
2023-05-05,64.83
2023-05-08,64.68
2023-05-09,63.51
2023-05-10,61.81
2023-05-11,61.43
2023-05-12,61.05
2023-05-15,61.06
2023-05-16,59.69
2023-05-17,58.76
2023-05-18,58.8
2023-05-19,59.38
2023-05-22,58.83
2023-05-23,58.74
2023-05-24,57.6
2023-05-25,56.87
2023-05-26,57.15
2023-05-30,54.46
2023-05-31,53.4
2023-06-01,53.81
2023-06-02,54.85
2023-06-05,54.18
2023-06-06,54.93
2023-06-07,55.17
2023-06-08,55.08
2023-06-09,55.16
2023-06-12,55.15
2023-06-13,55.62
2023-06-14,56.67
2023-06-15,58.57
2023-06-16,58.21
2023-06-20,56.76
2023-06-21,56.73
2023-06-22,57.89
2023-06-23,57.12
2023-06-26,56.36
2023-06-27,56.53
2023-06-28,55.9
2023-06-29,55.59
2023-06-30,56.72
2023-07-03,57.26
2023-07-05,56.69
2023-07-06,55.33
2023-07-07,55.5
2023-07-10,55.58
2023-07-11,56.2
2023-07-12,57.23
2023-07-13,58.15
2023-07-14,58.19
2023-07-17,57.6
2023-07-18,57.5
2023-07-19,58.43
2023-07-20,58.73
2023-07-21,58.55
2023-07-24,58.37
2023-07-25,58.56
2023-07-26,58.69
2023-07-27,58.14
2023-07-28,58.86
2023-07-31,57.3
2023-08-01,56.84
2023-08-02,56.23
2023-08-03,56.98
2023-08-04,56.49
